1,vice versa,2
2,ammonium chloride,1
3,inorganic salts,2
4,international geophysical,1
5,dislocation climb,1
6,slipstreams downward,1
8,lagrangian multiplier,2
10,spark schlieren,1
12,generalised airforces,1
13,solar activity,2
14,retrocket exhausting,1
15,current status,3
16,flame stabilization,2
17,apparently unlimited,2
18,cambered ogee,1
19,thermo mechanical,2
21,sea level,2
22,chapman rubesin,2
23,effective tripping,2
24,feeding sheet,1
26,extendible afterbody,1
27,practically unaffected,2
28,disk spring,2
29,semiempirical lifetime,1
30,multiplicative factor,2
32,dual rotating,2
33,magnetohydrodynamics shocks,1
34,reciprocity relations,1
36,midplane compressive,2
37,initially imperfect,2
38,inflection points,2
39,unique relationship,2
40,tentative conclusions,2
41,mathematical tools,2
42,short periods,2
43,housing sonic,1
45,rhombic cross,2
46,martian atmosphere,2
47,aeronautical laboratory,2
49,manned space,1
50,middle stages,2
51,conceptual approach,1
52,neutral particle,2
53,opposite sides,2
54,blunted glider,1
55,circulation strengths,1
56,diurnal variations,1
57,seventh power,2
58,localized mass,3
59,curve slope,8
61,curved aluminium,1
62,payload shapes,1
63,slight modification,3
64,rotating isothermal,1
66,rotary derivatives,2
68,physical interpretation,3
69,torsional oscillation,2
70,kernel function,4
71,agrees closely,2
72,electric current,2
73,mathieu functions,2
74,half conic,1
75,fit curves,2
76,national physical,2
77,external stores,2
78,gravity locations,1
79,tapered sweptback,1
80,momentary stability,1
81,proposed programme,1
82,impeller blades,1
83,stanton tube,1
85,wind tunnels,20
86,fixed ends,1
87,upstream transpiration,1
88,chord aft,1
89,isolated points,2
90,hypervelocity vehicles,1
91,stiffened web,1
92,upper bound,1
93,thrust hypothesis,1
94,highly swept,4
95,principal features,1
96,quasi steady,8
98,load carrying,2
99,shearing stress,5
100,working sections,1
101,intermediate regime,1
102,iteration process,1
103,roughness element,3
104,numerically integrated,2
105,truncated cones,1
106,pitot static,5
107,electromagnetic waves,1
108,flap chord,1
110,magnetohydrodynamic channel,1
111,impeller tip,1
112,fluid mechanics,4
114,semiempirical approach,1
115,fatigue behaviour,3
116,cylindrical shells,35
117,large flares,1
118,physical laboratory,1
119,distributed roughness,4
120,power spectra,2
121,hemisphere cylinder,13
122,straight line,5
123,gravity position,2
124,presented graphically,2
125,net mass,2
126,emitted thermal,1
127,molecular vibrations,1
128,oseen approximation,2
129,atmospheric density,7
130,membrane approach,1
131,nose bluntness,8
132,shroud profiles,1
133,limiting cases,7
134,instantaneous energy,1
135,suction quantities,1
136,walled circular,1
137,elliptic cones,2
138,creep collapse,2
139,vertical gust,3
141,gas rarefaction,1
142,held constant,4
143,isentropic sound,2
144,aileron deflections,1
145,discussed concerns,1
146,internal liquid,1
147,turbulent lubrication,1
148,arbitrary hub,2
149,cross coupling,2
150,tentative design,1
151,sandwich type,4
152,axisymmetric deformations,1
154,quantitative comparison,2
155,present writer,2
156,mechanical loading,1
157,axisymmetrical laminar,1
158,strong bow,2
159,jeffrey hamel,1
161,vapour screen,1
162,reviewer believes,3
163,throttle holes,1
164,open ended,2
165,fourier transforms,3
166,auxiliary slot,1
167,multiple valued,2
169,rayleigh ritz,5
170,perforated strips,1
171,vessel heads,1
173,asymptotically approaches,1
174,reaction resisted,1
175,instabilities arising,1
176,vibration isolation,1
177,minor axes,1
178,electrically conducting,19
179,finned missile,1
180,arbitrarily shaped,2
181,manoeuvring technique,1
182,choke line,1
183,axisymmetric snap,1
185,pivotal points,2
186,swept back,7
187,chemical kinetics,2
189,twin propeller,1
193,activation energy,1
194,cross sectional,14
195,roughness bands,2
197,charged satellite,2
198,vibrational degrees,1
199,series cowlings,1
200,power plant,2
201,longitudinally varying,1
202,dissociation scaling,1
203,double fourier,2
204,reciprocal relations,2
206,vibrational relaxation,2
208,initial eccentricities,2
209,rockets exhausting,1
210,shallow water,2
211,gravity location,3
212,constant temp,10
213,continuous beams,1
214,double slotted,1
215,circular capillary,1
216,technical note,4
219,solved numerically,4
220,correction term,2
221,km sec,2
222,reasonable estimates,2
223,practical purposes,5
224,purpose analogue,1
225,represent closely,2
226,asymmetrical bending,1
227,planform double,1
228,nacelle propeller,1
229,drag programs,1
230,imperfect gases,2
231,load capacities,1
232,circling case,1
233,air foils,3
235,considerable interest,5
236,lower fins,1
237,magnetic field,26
238,hole diameter,2
239,calibration factors,1
240,radial coordinate,2
241,torispherical shells,2
242,kinetic energy,5
243,static peripheral,1
244,caret wings,1
245,fighter type,1
246,engineering relations,1
247,liquid nitrogen,2
248,area surrounding,1
250,adiabatic recovery,1
251,mathematical formulation,2
252,eliminating flutter,2
253,deformation theories,4
254,destabilizing influence,1
255,jet billowing,1
256,major portion,4
257,involving initially,2
258,reference enthalpy,3
259,substantial reduction,3
261,spectrum line,1
262,yawed infinite,1
263,thermal conductivity,7
264,downstream movement,1
265,perpendicularly form,1
266,core sandwich,1
267,conductive heat,2
268,stationary vorticity,1
269,unstable equilibrium,1
270,oscillating aerofoil,1
271,forward fuselage,1
272,meridional plane,2
273,velocity squared,1
274,rear portion,1
275,thermodynamic transport,1
276,sonic line,7
277,inclined bodies,4
278,axis locations,1
279,simple quadrature,2
280,free convection,13
281,jet issuing,2
283,compressor operation,2
284,ft altitude,1
286,reaction rates,5
287,forebody length,2
288,plastic deformation,2
289,compression corner,2
291,conical spring,1
293,theoretical treatments,3
295,convecting randon,1
296,cavitating curvilinear,1
298,computational labor,1
299,folding wingtip,1
300,conformal mapping,4
301,sextic polynomial,1
303,shroud redesigned,1
304,chemically reacting,2
305,overshoot bound,2
306,orbital period,5
307,propagating flame,1
308,multipropeller vtol,1
309,reentry glider,2
310,combustion products,3
311,aerodynamically heated,4
312,sudden freezing,1
314,optimum zoom,1
315,airplane weights,2
316,varies exponentially,1
317,hub shroud,2
319,positive ion,1
320,axes perpendicular,1
321,regions terminated,2
322,strongly dependent,2
323,naca technical,2
324,elevated temperatures,3
325,rheological behaviour,1
326,miss distance,2
328,engineering purposes,3
329,tangency condition,2
331,arbitrarily prescribed,2
332,dependent drags,1
333,specific impulse,1
334,rectangular ducts,1
335,essential feature,2
336,heated driver,2
337,greatly affected,4
338,sudden unit,2
339,fields embedded,1
340,physical mechanisms,2
341,considerable simplification,1
342,fully merged,2
344,report describes,10
345,tabular form,2
346,blunted noses,1
347,part iv,2
348,deflected slipstream,2
349,boundaries characterized,1
350,spanwise stations,2
351,existing literature,2
352,retarding force,2
353,aft portion,1
354,significant contribution,2
355,prescribed loadings,1
357,untwisted wings,2
358,closely approaches,2
359,stratiform bodies,2
361,perigee altitude,2
363,practical significance,3
364,diurnal density,1
365,sublimation rates,1
366,integrals involved,1
367,blast wave,14
368,relaxation times,4
369,definite increase,1
370,solving partial,1
371,jet plume,1
372,polar missile,1
373,acoustic fatigue,4
374,disturbed region,1
375,frictional force,1
376,ballistic missile,1
377,engineering applications,2
378,truncated conical,1
379,room temperature,4
380,sphere flying,2
382,modified impellers,1
383,completely satisfactory,2
384,external hydrostatic,2
385,single stage,4
386,neumann problem,1
387,light weight,2
388,dissociation recombination,2
389,infinite sheet,2
390,graphical approximation,1
391,cylindrical shell,24
392,stiffened cylinders,4
393,atmospheric entry,3
395,major source,1
396,dimensionless parameters,1
397,side jets,1
398,compressor stall,3
399,cruciform column,1
400,report discusses,2
401,random processes,2
402,direct aileron,1
404,cold solid,1
405,creep buckling,25
406,perigee height,2
407,solid jets,1
408,blunted cones,7
409,shock envelopes,1
411,collapse time,3
412,obtaining ablation,1
413,viscous wakes,3
415,qualitative discussion,2
416,research program,3
417,power spectrum,2
418,lowest reynolds,5
419,roughly uniform,1
420,dissociated gases,1
421,undissociated air,2
422,air intakes,1
423,drum camera,1
424,drawing board,1
425,boat tailing,2
426,angularly misaligned,1
427,cm hg,1
428,piece wise,1
429,braking impulse,1
430,photo thermoelastic,3
431,kutta joukowski,2
432,unified viewpoint,2
433,bomber airplanes,1
434,solar proton,1
435,falkner skan,4
436,skewed parabolic,1
439,notch depth,2
440,violet radiation,1
441,torsional stiffnesses,1
442,atom recombination,3
443,thermo aeroelastic,1
444,stepwise integration,2
446,partially ionized,3
447,turbojet powered,1
448,infinitesimal sides,2
449,cent probability,1
450,isentropic exponent,2
452,strain gage,2
453,recent advances,5
454,proof testing,3
455,simply supported,29
456,stage stacking,3
457,hard sphere,1
458,inlet stages,2
460,computing machine,4
461,stepdown height,1
462,partial conic,1
463,ft sec,9
464,tapered holes,1
465,stage matching,3
467,column lifetime,1
468,load meter,1
469,boat tail,1
470,positive incremental,2
473,forced convective,1
474,successive approximations,4
475,forced convection,3
477,local linearisation,1
478,power output,3
479,slow oscillations,2
480,partial differential,20
481,alternative formulation,1
482,slot width,1
483,distinct types,2
484,single eighth,2
485,definite set,2
486,ground proximity,2
487,paper reviews,2
488,magneto aerodynamics,1
489,recent years,4
490,employing nitrogen,1
491,thin walled,19
492,moderate incidences,2
493,transformed coordinates,1
494,exit diameters,4
495,telegraph equation,2
496,determinantal equation,1
498,trigonometric series,2
500,points consisted,1
501,fourier series,5
502,analytically expressed,1
504,mentioned authors,2
505,noninclined bodies,1
506,dissociating gas,3
508,transonic blowdown,2
509,apparent mass,4
510,loading margin,2
511,elastic restraint,2
512,magnetic fields,8
513,chemical kinetic,2
514,interplanetary flight,2
515,fixing transition,2
516,pressurized ballistic,2
517,alloy panels,1
518,jet plumes,1
519,important feature,4
520,annular nozzles,2
521,loading cycles,1
522,ablating surfaces,1
523,blowdown type,2
524,simpler modes,1
525,substantially independent,2
526,eigenvalue problem,2
527,inch langley,2
528,laminar bounary,1
529,energy release,1
530,vertex angle,1
531,decreases rapidly,1
532,stage stall,2
533,gravitational effects,2
534,subsonic turbulen,1
