RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF, p_value_map,p_value_cip,p_MAP <0.05,p_CiP < 0.05
20250821_151309_duckdb_english_-1_0_0,duckdb,english,0,0,0.3029,1175.6018,6639,128030,0,91.45,80317,,,TRUE,TRUE
20250821_204237_duckdb_none_-1_0_0,duckdb,none,0,0,0.2753,6487.9558,7044,239151,0,170.822142857143,120060,,,TRUE,TRUE
20250821_151346_phrases_english_-1_0_0,phrases,english,0,0,0.1517,594.2832,21928,102342,16988,73.1014285714286,77971,1.92758172156539E-018,2.19556013660145E-032,TRUE,TRUE
20250821_151545_phrases_english_-1_0_1,phrases,english,0,1,0.1557,616.6195,21685,102526,16746,73.2328571428571,77793,1.07559596722483E-016,2.19556013660145E-032,TRUE,TRUE
20250821_151754_phrases_english_-1_0_2,phrases,english,0,2,0.1611,645.0796,21052,103046,16109,73.6042857142857,77506,7.12186033028623E-016,2.19556013660145E-032,TRUE,TRUE
20250821_152001_phrases_english_-1_0_3,phrases,english,0,3,0.1577,682.3363,20102,104132,15148,74.38,77606,7.12186033028623E-016,2.19556013660145E-032,TRUE,TRUE
20250821_152210_phrases_english_-1_0_4,phrases,english,0,4,0.1666,728.6283,18662,106284,13680,75.9171428571429,77921,4.3777338031346E-015,2.19556013660145E-032,TRUE,TRUE
20250821_152408_phrases_english_-1_0_5,phrases,english,0,5,0.1841,833.4779,16899,109637,11883,78.3121428571429,78641,0.00000000000186756659097355,2.19556013660145E-032,TRUE,TRUE
20250821_152601_phrases_english_-1_0_6,phrases,english,0,6,0.2083,975.0088,14860,114007,9804,81.4335714285714,79598,0.00000000095930630140507,2.19556013660145E-032,TRUE,TRUE
20250821_152749_phrases_english_-1_0_7,phrases,english,0,7,0.24,1158.7345,12928,119090,7820,85.0642857142857,80545,0.000237468014627488,4.63336374160792E-029,TRUE,TRUE
20250821_152913_phrases_english_-1_0_8,phrases,english,0,8,0.2673,1326.5133,11156,126009,5981,90.0064285714286,82155,0.210765793978782,4.63336374160792E-029,FALSE,TRUE
20250821_153053_phrases_english_-1_0_9,phrases,english,0,9,0.2849,1400.531,9605,130791,4290,93.4221428571429,83560,0.92194882762643,9.02294327085531E-029,FALSE,TRUE
20250821_153226_phrases_english_-1_0_10,phrases,english,0,10,0.2955,1424.6637,8539,133875,2996,95.625,84619,1,3.77813381138913E-025,FALSE,TRUE
20250821_153351_phrases_english_-1_0_11,phrases,english,0,11,0.2987,1433.1504,7730,135702,2010,96.93,85361,0.0263016651311223,3.35638779268828E-024,TRUE,TRUE
