RUN_ID,MODE,STOPWORDS,MIN_FREQ,MIN_PMI,MAP,POSTINGS_COST,DICT_SIZE,TERMS_SIZE,NGRAMS,AVGDL,SUMDF,p_value_map,p_value_cip,p_MAP <0.05,p_CiP < 0.05
20250821_151309_duckdb_english_-1_0_0,duckdb,english,0,0,0.2732,1197.5536,6639,128030,0,91.45,80317,,,TRUE,TRUE
20250821_204237_duckdb_none_-1_0_0,duckdb,none,0,0,0.2673,6308.6607,7044,239151,0,170.822142857143,120060,,,TRUE,TRUE
20250821_151346_phrases_english_-1_0_0,phrases,english,0,0,0.1648,620.2946,21928,102342,16988,73.1014285714286,77971,0.000000000155027488451622,3.85185988877447E-034,TRUE,TRUE
20250821_151545_phrases_english_-1_0_1,phrases,english,0,1,0.1674,649.3839,21685,102526,16746,73.2328571428571,77793,0.000000000155027488451622,3.85185988877447E-034,TRUE,TRUE
20250821_151754_phrases_english_-1_0_2,phrases,english,0,2,0.1733,677.6964,21052,103046,16109,73.6042857142857,77506,0.000000000155027488451622,3.85185988877447E-034,TRUE,TRUE
20250821_152001_phrases_english_-1_0_3,phrases,english,0,3,0.1766,721.4821,20102,104132,15148,74.38,77606,0.0000000000376517733632375,3.85185988877447E-034,TRUE,TRUE
20250821_152210_phrases_english_-1_0_4,phrases,english,0,4,0.1766,807.1518,18662,106284,13680,75.9171428571429,77921,0.00000000095930630140507,3.85185988877447E-034,TRUE,TRUE
20250821_152408_phrases_english_-1_0_5,phrases,english,0,5,0.1856,937.5982,16899,109637,11883,78.3121428571429,78641,0.0000000188293380190728,3.85185988877447E-034,TRUE,TRUE
20250821_152601_phrases_english_-1_0_6,phrases,english,0,6,0.1999,1085.1339,14860,114007,9804,81.4335714285714,79598,0.00000431475152179488,3.85185988877447E-034,TRUE,TRUE
20250821_152749_phrases_english_-1_0_7,phrases,english,0,7,0.2233,1206.5268,12928,119090,7820,85.0642857142857,80545,0.000606076277209059,3.85185988877447E-034,TRUE,TRUE
20250821_152913_phrases_english_-1_0_8,phrases,english,0,8,0.2447,1391.3571,11156,126009,5981,90.0064285714286,82155,0.0619263798786274,4.35260167431515E-032,FALSE,TRUE
20250821_153053_phrases_english_-1_0_9,phrases,english,0,9,0.2574,1475.7768,9605,130791,4290,93.4221428571429,83560,0.276013892492502,4.35260167431515E-032,FALSE,TRUE
20250821_153226_phrases_english_-1_0_10,phrases,english,0,10,0.2694,1509.1786,8539,133875,2996,95.625,84619,0.835846134631486,6.16297582203916E-033,FALSE,TRUE
20250821_153351_phrases_english_-1_0_11,phrases,english,0,11,0.271,1517.125,7730,135702,2010,96.93,85361,0.0502508953352914,2.52435489670724E-029,FALSE,TRUE
20250821_153515_phrases_english_-1_0_12,phrases,english,0,12,0.2752,1520.4643,7220,136986,1305,97.8471428571429,85910,0.374174417604708,4.2351647362715E-022,FALSE,TRUE
20250821_153639_phrases_english_-1_0_13,phrases,english,0,13,0.2772,1521.7411,6885,137827,779,98.4478571428572,86301,0.518958003189652,2.22044604925031E-016,FALSE,TRUE
20250821_153752_phrases_english_-1_0_14,phrases,english,0,14,0.2759,1522.4375,6714,138289,451,98.7778571428571,86539,0.760791642561344,0.0000152587890625,FALSE,TRUE
20250821_153909_phrases_english_-1_0_15,phrases,english,0,15,0.2753,1522.5357,6627,138579,258,98.985,86697,1,0.0078125,FALSE,TRUE
20250821_154022_phrases_english_-1_0_16,phrases,english,0,16,0.275,1522.6429,6593,138733,129,99.095,86796,0.503444671630859,0.5,FALSE,FALSE
20250821_154138_phrases_english_-1_0_17,phrases,english,0,17,0.275,1522.6607,6598,138829,44,99.1635714285714,86872,1,,FALSE,TRUE
20250821_154243_phrases_english_-1_0_24,phrases,english,0,24,0.275,1522.6607,6639,138873,0,99.195,86916,,,TRUE,TRUE
20250821_154350_phrases_english_-1_0_48,phrases,english,0,48,0.275,1522.6607,6639,138873,0,99.195,86916,,,TRUE,TRUE
20250821_154453_phrases_english_-1_1_0,phrases,english,1,0,0.1648,620.2946,21928,102342,16988,73.1014285714286,77971,0.000000000155027488451622,3.85185988877447E-034,TRUE,TRUE
20250821_154658_phrases_english_-1_1_1,phrases,english,1,1,0.1674,649.3839,21685,102526,16746,73.2328571428571,77793,0.000000000155027488451622,3.85185988877447E-034,TRUE,TRUE
20250821_154907_phrases_english_-1_1_2,phrases,english,1,2,0.1733,677.6964,21052,103046,16109,73.6042857142857,77506,0.000000000155027488451622,3.85185988877447E-034,TRUE,TRUE
20250821_155115_phrases_english_-1_1_3,phrases,english,1,3,0.1766,721.4821,20102,104132,15148,74.38,77606,0.0000000000376517733632375,3.85185988877447E-034,TRUE,TRUE
20250821_155322_phrases_english_-1_1_4,phrases,english,1,4,0.1766,807.1518,18662,106284,13680,75.9171428571429,77921,0.00000000095930630140507,3.85185988877447E-034,TRUE,TRUE
20250821_155521_phrases_english_-1_1_5,phrases,english,1,5,0.1856,937.5982,16899,109637,11883,78.3121428571429,78641,0.0000000188293380190728,3.85185988877447E-034,TRUE,TRUE
20250821_155649_phrases_english_-1_1_6,phrases,english,1,6,0.1999,1085.1339,14860,114007,9804,81.4335714285714,79598,0.00000431475152179488,3.85185988877447E-034,TRUE,TRUE
20250821_155840_phrases_english_-1_1_7,phrases,english,1,7,0.2233,1206.5268,12928,119090,7820,85.0642857142857,80545,0.000606076277209059,3.85185988877447E-034,TRUE,TRUE
20250821_160021_phrases_english_-1_1_8,phrases,english,1,8,0.2447,1391.3571,11156,126009,5981,90.0064285714286,82155,0.0619263798786274,4.35260167431515E-032,FALSE,TRUE
20250821_160158_phrases_english_-1_1_9,phrases,english,1,9,0.2574,1475.7768,9605,130791,4290,93.4221428571429,83560,0.276013892492502,4.35260167431515E-032,FALSE,TRUE
20250821_160317_phrases_english_-1_1_10,phrases,english,1,10,0.2694,1509.1786,8539,133875,2996,95.625,84619,0.835846134631486,6.16297582203916E-033,FALSE,TRUE
20250821_160446_phrases_english_-1_1_11,phrases,english,1,11,0.271,1517.125,7730,135702,2010,96.93,85361,0.0502508953352914,2.52435489670724E-029,FALSE,TRUE
20250821_160604_phrases_english_-1_1_12,phrases,english,1,12,0.2752,1520.4643,7220,136986,1305,97.8471428571429,85910,0.374174417604708,4.2351647362715E-022,FALSE,TRUE
20250821_160725_phrases_english_-1_1_13,phrases,english,1,13,0.2772,1521.7411,6885,137827,779,98.4478571428572,86301,0.518958003189652,2.22044604925031E-016,FALSE,TRUE
20250821_160840_phrases_english_-1_1_14,phrases,english,1,14,0.2759,1522.4375,6714,138289,451,98.7778571428571,86539,0.760791642561344,0.0000152587890625,FALSE,TRUE
20250821_160959_phrases_english_-1_1_15,phrases,english,1,15,0.2753,1522.5357,6627,138579,258,98.985,86697,1,0.0078125,FALSE,TRUE
20250821_161116_phrases_english_-1_1_16,phrases,english,1,16,0.275,1522.6429,6593,138733,129,99.095,86796,0.503444671630859,0.5,FALSE,FALSE
20250821_161232_phrases_english_-1_1_17,phrases,english,1,17,0.275,1522.6607,6598,138829,44,99.1635714285714,86872,1,,FALSE,TRUE
20250821_161344_phrases_english_-1_1_24,phrases,english,1,24,0.275,1522.6607,6639,138873,0,99.195,86916,,,TRUE,TRUE
20250821_161455_phrases_english_-1_1_48,phrases,english,1,48,0.275,1522.6607,6639,138873,0,99.195,86916,,,TRUE,TRUE
20250821_161601_phrases_english_-1_2_0,phrases,english,2,0,0.1839,443.1339,10740,105739,6586,75.5278571428571,79664,0.000000061413029347732,4.35260167431515E-032,TRUE,TRUE
20250821_161715_phrases_english_-1_2_1,phrases,english,2,1,0.1852,465.5089,10666,105816,6512,75.5828571428571,79489,0.0000000290809674130093,4.35260167431515E-032,TRUE,TRUE
20250821_161827_phrases_english_-1_2_2,phrases,english,2,2,0.184,489.9911,10427,106096,6273,75.7828571428571,79150,0.00000000857770862513633,4.35260167431515E-032,TRUE,TRUE
20250821_161940_phrases_english_-1_2_3,phrases,english,2,3,0.1867,529.3571,10036,106808,5881,76.2914285714286,79059,0.0000000188293380190728,4.35260167431515E-032,TRUE,TRUE
20250821_162106_phrases_english_-1_2_4,phrases,english,2,4,0.1923,608.5804,9433,108408,5271,77.4342857142857,79099,0.0000000188293380190728,4.35260167431515E-032,TRUE,TRUE
20250821_162231_phrases_english_-1_2_5,phrases,english,2,5,0.1896,732.7321,8641,111018,4475,79.2985714285714,79410,0.0000000188293380190728,4.35260167431515E-032,TRUE,TRUE
20250821_162353_phrases_english_-1_2_6,phrases,english,2,6,0.2087,877.6696,7697,114500,3528,81.7857142857143,79898,0.0000229545129168172,4.35260167431515E-032,TRUE,TRUE
20250821_162515_phrases_english_-1_2_7,phrases,english,2,7,0.2273,993.625,6857,118615,2684,84.725,80372,0.000445302448062656,4.35260167431515E-032,TRUE,TRUE
